parcel_id,county,just_value,building_value,land_value,year_built,land_sqft,sale_date,target,property_age,land_building_ratio,building_value_pct,land_value_pct,value_per_sqft,value_category,age_category,is_top_county
28 3633-01-1881-7,BREVARD,331120.0,270120.0,61000.0,2006,22216.0,2025-04-01,1,19,0.22582472299450987,0.8157742939892063,0.1842226859667614,14.90390241706801,medium,moderate,1
28 3633-50-*-175,BREVARD,350180.0,295180.0,55000.0,2016,6098.0,2025-04-01,1,9,0.18632635569362527,0.842935510493145,0.1570616338407852,57.41596983111985,medium,recent,1
28 3634-FB-1914-12,BREVARD,190000.0,159500.0,30500.0,1988,10890.0,2025-04-01,1,37,0.1912213716528423,0.8394692659512318,0.1605254709185741,17.445597282159582,medium-low,old,1
28 3703-FF-K-15,BREVARD,118910.0,86730.0,32180.0,1958,11761.0,2025-04-01,1,67,0.3710322721979454,0.7293690238918182,0.27062256645726634,10.10967522530182,medium-low,very_old,1
28 3705-83-*-24,BREVARD,451400.0,371400.0,80000.0,2013,11761.0,2025-04-01,1,12,0.2154006047371978,0.8227717705543408,0.17722601412048267,38.377826900187046,medium,moderate,1
28 3706-76-2-20,BREVARD,176040.0,96040.0,80000.0,1976,11326.0,2025-04-01,1,49,0.8329775824908112,0.5455547287279667,0.4544395907771485,15.54162620287808,medium-low,very_old,1
28 3707-77-*-363,BREVARD,308220.0,228220.0,80000.0,1999,6970.0,2025-04-01,1,26,0.3505374176784783,0.7404427342718374,0.2595540213028963,44.21460335676374,medium,old,1
28 3711-28-B-31,BREVARD,61060.0,45060.0,16000.0,1957,6098.0,2025-04-01,1,68,0.35507423270677524,0.7379505740161478,0.2620330489182948,10.01147729135924,low,very_old,1
28 3714-54-14-17,BREVARD,131920.0,87920.0,44000.0,1987,4792.0,2025-04-01,1,38,0.5004492669555624,0.6664594719567014,0.33353294774903164,27.523471729605674,medium-low,old,1
28 3714-54-16-27,BREVARD,131760.0,87760.0,44000.0,1990,4792.0,2025-04-01,1,35,0.5013616526703205,0.6660544470670381,0.333937963433793,27.490089714166494,medium-low,old,1
28 3716-29-B-20,BREVARD,328470.0,248470.0,80000.0,2004,,2025-04-01,1,21,0.32196916340337506,0.7564442523084229,0.243552703282786,45.272963798175205,medium,old,1
28 3716-52-*-138,BREVARD,262980.0,187980.0,75000.0,1996,,2025-04-01,1,29,0.39897649230507337,0.7148044915792395,0.28519170586468223,45.272963798175205,medium,old,1
28 3716-53-*-70,BREVARD,265170.0,190170.0,75000.0,1996,,2025-04-01,1,29,0.3943818983967061,0.7171598704232364,0.282836358425318,45.272963798175205,medium,old,1
412333177002,CHARLOTTE,433680.0,307030.0,126650.0,1996,,2025-04-01,1,29,0.4124990636124691,0.707962765258335,0.2920349288993523,45.272963798175205,medium,old,0
5-0L-0R-0S-1280-0000C-0060,GADSDEN,232272.0,199827.0,32445.0,2005,45000.0,2025-04-01,1,20,0.162364633584883,0.8603109272278741,0.13968476749342368,5.161485300326659,medium-low,moderate,0
28 3720-75-94-34,BREVARD,133110.0,83230.0,49880.0,1983,,2025-04-01,1,42,0.5992959354086819,0.625267633779327,0.374724853693534,45.272963798175205,medium-low,very_old,1
28 3721-26-B-45,BREVARD,213800.0,125800.0,88000.0,2006,3049.0,2025-04-01,1,19,0.699517491911829,0.5883976220878293,0.41159770066557216,70.09836065573771,medium-low,moderate,1
28 3722-00-171.W,BREVARD,178910.0,143910.0,35000.0,1996,871.0,2025-04-01,1,29,0.243205870294835,0.8043664168217717,0.19562799380697665,205.17201834862385,medium-low,old,1
28 3729-KP-2416-13,BREVARD,359680.0,294680.0,65000.0,2006,14810.0,2025-04-01,1,19,0.22057750584530392,0.8192815300224365,0.1807156897361829,24.284653298224292,medium,moderate,1
28 3731-FR-180-19,BREVARD,271040.0,216040.0,55000.0,2005,,2025-04-01,1,20,0.25458130632611403,0.7970749812758955,0.2029213292453909,45.272963798175205,medium,moderate,1
28 3731-FR-214-31,BREVARD,236540.0,181540.0,55000.0,1981,,2025-04-01,1,44,0.30296186536374703,0.7674779425131373,0.23251782988995565,45.272963798175205,medium-low,very_old,1
28 3731-FR-231-22,BREVARD,235130.0,180130.0,55000.0,1985,,2025-04-01,1,40,0.30533334073535373,0.7660835874469977,0.23391215960464593,45.272963798175205,medium-low,old,1
28 3732-FS-270-9,BREVARD,227260.0,172260.0,55000.0,2006,,2025-04-01,1,19,0.31928294854900413,0.7579831119285755,0.24201248784437276,45.272963798175205,medium-low,moderate,1
28 3732-FS-271-25,BREVARD,246580.0,191580.0,55000.0,2001,,2025-04-01,1,24,0.28708483617895303,0.7769455067503174,0.22305043778717745,45.272963798175205,medium-low,old,1
28 3733-01-2171-12,BREVARD,182570.0,142570.0,40000.0,1980,,2025-04-01,1,45,0.2805619656171311,0.7809016766080046,0.21909284607084367,45.272963798175205,medium-low,very_old,1
422329454001,CHARLOTTE,438293.0,404293.0,34000.0,2024,10440.0,2025-04-01,1,1,0.08409721638213775,0.9224242175343491,0.07757350089209526,41.97806723493918,medium,new,0
422430226007,CHARLOTTE,186965.0,135965.0,51000.0,2006,87120.0,2025-04-01,1,19,0.37509377344336087,0.7272177829124011,0.27277686852154936,2.146038268614915,medium-low,moderate,0
422630116004,CHARLOTTE,444456.0,332256.0,112200.0,2023,9678.0,2025-04-01,1,2,0.33769040230905595,0.7475548815745955,0.2524428684889652,45.91961979543341,medium,new,0
422632219015,CHARLOTTE,395953.0,322003.0,73950.0,2019,11164.0,2025-04-01,1,6,0.2296555322294133,0.8132333553897675,0.18676411906433577,35.463770712046575,medium,recent,0
402103153011,CHARLOTTE,388773.0,359873.0,28900.0,2022,9999.0,2025-04-01,1,3,0.08030588483747089,0.9256611810460577,0.074336246765473,38.8773,medium,new,0
402132179007,CHARLOTTE,392545.0,324545.0,68000.0,1987,,2025-04-01,1,38,0.20952345738354503,0.8267693467771929,0.1732281057506636,45.272963798175205,medium,old,0
402133181009,CHARLOTTE,382481.0,246481.0,136000.0,2001,,2025-04-01,1,24,0.5517644290455287,0.6444250971287537,0.35557228836912586,45.272963798175205,medium,old,0
402204361009,CHARLOTTE,288658.0,263158.0,25500.0,1994,,2025-04-01,1,31,0.09689959302170931,0.9116570070567694,0.0883395286479895,45.272963798175205,medium,old,0
402210133004,CHARLOTTE,184492.0,165792.0,18700.0,1975,,2025-04-01,1,50,0.11279125174162963,0.8986357205964454,0.10135885914370735,45.272963798175205,medium-low,very_old,0
29 3603-25-*-75,BREVARD,396570.0,352570.0,44000.0,2006,,2025-04-01,1,19,0.12479755850594632,0.8890463498339516,0.1109511285494905,45.272963798175205,medium,moderate,1
29 3603-28-*-379,BREVARD,273050.0,233050.0,40000.0,2021,,2025-04-01,1,4,0.17163625129263552,0.8535035579433878,0.14649277973711872,45.272963798175205,medium,new,1
29 3625-JP-1492-3,BREVARD,320620.0,278120.0,42500.0,2018,,2025-04-01,1,7,0.1528111864979631,0.867441621104045,0.13255525994866213,45.272963798175205,medium,recent,1
29 3705-GJ-314-17,BREVARD,159550.0,104550.0,55000.0,1982,,2025-04-01,1,43,0.5260590525198229,0.6552763693113801,0.34471736310019996,45.272963798175205,medium-low,very_old,1
29 3706-05-B-15,BREVARD,423400.0,378400.0,45000.0,2012,,2025-04-01,1,13,0.11892146162404434,0.8937154139928815,0.10628222417991455,45.272963798175205,medium,moderate,1
29 3707-GN-486-27,BREVARD,141580.0,99080.0,42500.0,1984,,2025-04-01,1,41,0.428941976766484,0.6998114153735318,0.30018152153184396,45.272963798175205,medium-low,very_old,1
29 3708-GL-468-9,BREVARD,137220.0,94720.0,42500.0,1983,,2025-04-01,1,42,0.44868614140475716,0.6902733546614586,0.3097193578242397,45.272963798175205,medium-low,very_old,1
402219401018,CHARLOTTE,328048.0,316148.0,11900.0,2022,,2025-04-01,1,3,0.037640479647254935,0.9637218830113794,0.03627506866352283,45.272963798175205,medium,new,0
402301354006,CHARLOTTE,358276.0,312758.0,45518.0,1985,,2025-04-01,1,40,0.1455369789518447,0.872950259157021,0.127046949706512,45.272963798175205,medium,old,0
29 3717-JR-2697-17,BREVARD,204710.0,162210.0,42500.0,1989,,2025-04-01,1,36,0.26200442633360255,0.7923853627797236,0.2076097522849285,45.272963798175205,medium-low,old,1
402319380020,CHARLOTTE,231453.0,199153.0,32300.0,2019,,2025-04-01,1,6,0.16218604697872,0.8604431118062337,0.13955256768083507,45.272963798175205,medium-low,recent,0
29 3718-JR-2674-18,BREVARD,258010.0,215510.0,42500.0,1998,,2025-04-01,1,27,0.1972057110773928,0.8352744650421882,0.16472165915406708,45.272963798175205,medium,old,1
29 3720-GQ-819-5,BREVARD,253410.0,191410.0,62000.0,1988,20038.0,2025-04-01,1,37,0.3239103290824456,0.7553342199036348,0.2446618339377533,12.645840610808923,medium,old,1
131330290580,DADE,481025.0,175525.0,305500.0,1951,,2025-04-01,1,74,1.7404828914234929,0.3648971157484211,0.6351008053618723,45.272963798175205,medium,very_old,1
29 3721-GR-941-7,BREVARD,175260.0,144260.0,31000.0,1985,10019.0,2025-04-01,1,40,0.21488829274717353,0.8231152395570036,0.17687905466703943,17.491017964071855,medium-low,old,1
29 3730-02-*-40,BREVARD,315810.0,270810.0,45000.0,2017,7405.0,2025-04-01,1,8,0.1661675485855449,0.8575065466370709,0.14249028691210883,42.64245206589252,medium,recent,1
402418382016,CHARLOTTE,306223.0,270523.0,35700.0,1984,,2025-04-01,1,41,0.13196611021572946,0.8834154083285438,0.11658132608809238,45.272963798175205,medium,very_old,0
402418456002,CHARLOTTE,248862.0,213162.0,35700.0,1973,,2025-04-01,1,52,0.1674774702926868,0.8565435601113865,0.1434524216134982,45.272963798175205,medium-low,very_old,0
412020351032,CHARLOTTE,607408.0,296308.0,311100.0,1985,,2025-04-01,1,40,1.0499174847878396,0.4878228672937016,0.5121754863691516,45.272963798175205,high,old,0
412022409004,CHARLOTTE,227196.0,197446.0,29750.0,1972,,2025-04-01,1,53,0.15067334525214363,0.8690519681157762,0.13094363041765517,45.272963798175205,medium-low,very_old,0
18-22-26-0650-000-03400,LAKE,239407.0,156157.0,83250.0,1984,12506.0,2025-04-01,1,41,0.5331138974628261,0.6522630822695984,0.34773274076054267,19.141840569281204,medium-low,very_old,0
3020100130370,DADE,615465.0,172325.0,443140.0,1967,15969.0,2025-04-01,1,58,2.5715214187064053,0.27999109617753054,0.7200072790373473,38.53882279273638,high,very_old,1
